自增ID,统计日期,店铺名称,商品ID,商品名称,SKU ID,SKU名称,加购件数,下单件数,下单买家数,下单金额,支付件数,支付买家数,支付金额,款号,颜色,分款号,波段,链接,上线前三天,记录日期,商品编码
608,2025-09-23,欧时力官方旗舰店,817995,套头卫衣秋冬款,923622,SPU146-米色-XXXL,166,155,95,39143,138,57,39372,SPU146,米色,SUB547,C波,https://shop.example.com/product/32376,2025-09-23,2025-10-23 23:19:37,SPU146-米色-XXXL
609,2025-09-23,森马女装官方旗舰店,336164,POLO衫夏季款,427721,SPU147-蓝色-XL,1,49,31,5363,14,2,18839,SPU147,蓝色,SUB441,C波,https://shop.example.com/product/38594,2025-09-23,2025-10-01 20:15:52,SPU147-蓝色-XL
610,2025-09-27,ZARA童装官方旗舰店,969164,POLO衫夏季款,724880,SPU147-蓝色-XS,14,52,0,48563,10,3,25846,SPU147,蓝色,SUB230,B波,https://shop.example.com/product/21980,2025-09-27,2025-10-13 15:23:49,SPU147-蓝色-XS
611,2025-09-30,H&M官方旗舰店,851966,POLO衫夏季款,916979,SPU147-蓝色-XXXL,967,476,121,41949,444,73,30363,SPU147,蓝色,SUB606,B波,https://shop.example.com/product/65784,2025-09-30,2025-10-27 19:32:22,SPU147-蓝色-XXXL
612,2025-09-15,森马女装官方旗舰店,773749,POLO衫夏季款,672079,SPU147-蓝色-XS,504,395,316,22708,138,82,21052,SPU147,蓝色,SUB667,C波,https://shop.example.com/product/32409,2025-09-15,2025-10-07 19:39:23,SPU147-蓝色-XS
613,2025-09-25,ZARA女装官方旗舰店,420102,休闲衬衫秋冬款,278584,SPU148-黄色-M,177,92,17,46714,74,40,6645,SPU148,黄色,SUB515,A波,https://shop.example.com/product/75844,2025-09-25,2025-10-06 14:00:14,SPU148-黄色-M
614,2025-10-04,杰克琼斯官方旗舰店,744819,休闲衬衫秋冬款,188115,SPU148-黄色-XL,229,167,17,3587,125,43,3422,SPU148,黄色,SUB641,A波,https://shop.example.com/product/57614,2025-10-04,2025-10-29 17:33:17,SPU148-黄色-XL
615,2025-09-22,GAP官方旗舰店,370874,休闲衬衫秋冬款,570010,SPU148-黄色-XXXL,232,157,78,17645,153,120,15094,SPU148,黄色,SUB883,C波,https://shop.example.com/product/93706,2025-09-22,2025-10-22 09:28:06,SPU148-黄色-XXXL
616,2025-10-19,GAP男装官方旗舰店,248002,休闲衬衫秋冬款,412017,SPU148-黄色-XS,224,109,67,47959,45,18,7348,SPU148,黄色,SUB953,D波,https://shop.example.com/product/25608,2025-10-12,2025-10-23 15:53:32,SPU148-黄色-XS
617,2025-09-20,韩都衣舍官方旗舰店,836444,POLO衫经典款,944919,SPU149-粉色-S,470,182,51,17036,148,74,39520,SPU149,粉色,SUB308,A波,https://shop.example.com/product/53695,2025-09-20,2025-10-17 05:48:19,SPU149-粉色-S
618,2025-10-19,欧时力女装官方旗舰店,660270,POLO衫经典款,131756,SPU149-粉色-XS,113,118,24,8179,62,33,14271,SPU149,粉色,SUB531,A波,https://shop.example.com/product/18997,2025-10-11,2025-10-31 01:18:27,SPU149-粉色-XS
619,2025-10-23,江南布衣官方旗舰店,965597,POLO衫经典款,775607,SPU149-粉色-S,373,352,218,2453,102,65,31092,SPU149,粉色,SUB618,B波,https://shop.example.com/product/82983,2025-10-20,2025-10-29 05:50:00,SPU149-粉色-S
620,2025-10-17,GAP童装官方旗舰店,282544,POLO衫经典款,603231,SPU149-粉色-M,69,34,30,12864,22,0,18693,SPU149,粉色,SUB947,D波,https://shop.example.com/product/34111,2025-10-15,2025-10-27 14:46:02,SPU149-粉色-M
621,2025-10-04,森马官方旗舰店,290357,POLO衫经典款,228164,SPU149-粉色-XS,227,161,78,26777,16,10,13939,SPU149,粉色,SUB435,B波,https://shop.example.com/product/73259,2025-10-04,2025-10-28 04:13:09,SPU149-粉色-XS
622,2025-09-26,GAP童装官方旗舰店,636721,家居服秋冬款,152431,SPU150-米色-XL,207,415,262,36996,412,54,23346,SPU150,米色,SUB535,D波,https://shop.example.com/product/34640,2025-09-26,2025-10-02 05:39:39,SPU150-米色-XL
623,2025-09-11,Pull&Bear男装官方旗舰店,500048,家居服秋冬款,620685,SPU150-米色-XXXL,44,149,122,29012,71,48,10655,SPU150,米色,SUB706,D波,https://shop.example.com/product/87181,2025-09-11,2025-10-11 03:47:41,SPU150-米色-XXXL
624,2025-09-28,韩都衣舍官方旗舰店,335388,家居服秋冬款,320096,SPU150-米色-L,811,477,69,38512,33,16,24646,SPU150,米色,SUB744,D波,https://shop.example.com/product/44339,2025-09-28,2025-10-19 03:31:22,SPU150-米色-L
625,2025-10-21,美特斯邦威官方旗舰店,155216,家居服秋冬款,739202,SPU150-米色-XXXL,1203,497,294,38393,463,404,1900,SPU150,米色,SUB806,A波,https://shop.example.com/product/24701,2025-10-14,2025-10-30 01:13:15,SPU150-米色-XXXL
626,2025-09-23,杰克琼斯男装官方旗舰店,681019,休闲衬衫夏季款,456813,SPU151-蓝色-S,61,24,7,37843,17,0,34818,SPU151,蓝色,SUB339,C波,https://shop.example.com/product/31459,2025-09-23,2025-10-07 15:27:48,SPU151-蓝色-S
627,2025-10-02,GAP官方旗舰店,666548,休闲衬衫夏季款,723327,SPU151-蓝色-S,104,48,42,34214,45,18,18840,SPU151,蓝色,SUB274,C波,https://shop.example.com/product/61100,2025-10-02,2025-10-27 05:23:59,SPU151-蓝色-S
628,2025-09-17,GAP男装官方旗舰店,641802,休闲衬衫夏季款,411994,SPU151-蓝色-XL,317,141,117,38196,131,94,28707,SPU151,蓝色,SUB274,C波,https://shop.example.com/product/74261,2025-09-17,2025-10-12 11:53:14,SPU151-蓝色-XL
629,2025-10-10,H&M女装官方旗舰店,698752,休闲衬衫夏季款,465459,SPU151-蓝色-XL,386,168,133,8284,162,132,7285,SPU151,蓝色,SUB962,A波,https://shop.example.com/product/33481,2025-10-10,2025-10-18 09:33:21,SPU151-蓝色-XL
630,2025-09-07,江南布衣男装官方旗舰店,881390,休闲衬衫夏季款,712165,SPU151-蓝色-S,118,73,68,39924,9,1,9021,SPU151,蓝色,SUB406,B波,https://shop.example.com/product/93794,2025-09-07,2025-10-02 01:38:46,SPU151-蓝色-S
631,2025-09-29,Stradivarius女装官方旗舰店,185930,套头卫衣夏季款,584570,SPU152-绿色-均码,14,311,168,49192,231,148,34676,SPU152,绿色,SUB406,C波,https://shop.example.com/product/53087,2025-09-29,2025-10-14 10:15:49,SPU152-绿色-均码
632,2025-09-19,GAP童装官方旗舰店,378791,套头卫衣夏季款,933413,SPU152-绿色-M,422,415,217,32528,50,48,10477,SPU152,绿色,SUB635,D波,https://shop.example.com/product/78599,2025-09-19,2025-10-07 05:27:15,SPU152-绿色-M
633,2025-09-21,Stradivarius官方旗舰店,861391,套头卫衣夏季款,328209,SPU152-绿色-XXXL,7,53,13,34613,5,4,22394,SPU152,绿色,SUB870,D波,https://shop.example.com/product/80303,2025-09-21,2025-10-15 15:47:13,SPU152-绿色-XXXL
634,2025-10-17,GAP官方旗舰店,706205,童装套装夏季款,357699,SPU153-红色-L,156,58,31,35308,49,5,18029,SPU153,红色,SUB444,A波,https://shop.example.com/product/12970,2025-10-15,2025-10-30 07:36:34,SPU153-红色-L
635,2025-09-23,ZARA女装官方旗舰店,984694,童装套装夏季款,855116,SPU153-红色-M,341,377,53,29182,316,239,37820,SPU153,红色,SUB148,C波,https://shop.example.com/product/51369,2025-09-23,2025-10-22 01:15:12,SPU153-红色-M
636,2025-09-28,Pull&Bear男装官方旗舰店,545881,童装套装夏季款,543504,SPU153-红色-XXL,149,75,26,14484,71,47,5860,SPU153,红色,SUB743,C波,https://shop.example.com/product/76137,2025-09-28,2025-10-04 13:12:18,SPU153-红色-XXL
637,2025-10-13,GAP女装官方旗舰店,856979,童装套装夏季款,587251,SPU153-红色-XXXL,766,275,6,43839,10,5,12789,SPU153,红色,SUB229,D波,https://shop.example.com/product/12618,2025-10-12,2025-10-29 14:40:02,SPU153-红色-XXXL
638,2025-09-25,Massimo Dutti官方旗舰店,227780,童装套装夏季款,703637,SPU153-红色-M,493,382,299,5231,381,5,16293,SPU153,红色,SUB978,B波,https://shop.example.com/product/85170,2025-09-25,2025-10-09 02:03:07,SPU153-红色-M
639,2025-09-12,Mango官方旗舰店,777713,短裤热卖款,430457,SPU154-黑色-L,357,242,31,15948,78,54,2769,SPU154,黑色,SUB687,A波,https://shop.example.com/product/79614,2025-09-12,2025-10-01 11:15:56,SPU154-黑色-L
640,2025-10-20,COS女装官方旗舰店,205973,短裤热卖款,997146,SPU154-黑色-XXL,257,167,31,2799,136,72,21478,SPU154,黑色,SUB162,B波,https://shop.example.com/product/49234,2025-10-18,2025-10-29 21:13:37,SPU154-黑色-XXL
641,2025-09-21,播女装官方旗舰店,316619,短裤热卖款,519913,SPU154-黑色-XS,35,108,43,45689,91,67,32518,SPU154,黑色,SUB310,D波,https://shop.example.com/product/62698,2025-09-21,2025-10-06 05:39:57,SPU154-黑色-XS
642,2025-10-12,GAP官方旗舰店,327575,短裤热卖款,823734,SPU154-黑色-XXL,89,71,65,47226,56,38,26276,SPU154,黑色,SUB681,B波,https://shop.example.com/product/37392,2025-10-11,2025-10-28 10:17:15,SPU154-黑色-XXL
643,2025-09-20,COS女装官方旗舰店,748735,家居服夏季款,163285,SPU155-米色-XS,7,180,160,21880,61,34,21086,SPU155,米色,SUB994,D波,https://shop.example.com/product/21842,2025-09-20,2025-10-15 12:18:24,SPU155-米色-XS
644,2025-09-15,欧时力官方旗舰店,572239,家居服夏季款,797994,SPU155-米色-S,252,187,22,42641,162,85,25286,SPU155,米色,SUB940,D波,https://shop.example.com/product/41379,2025-09-15,2025-10-03 13:30:19,SPU155-米色-S
645,2025-10-07,美特斯邦威男装官方旗舰店,294969,家居服夏季款,474413,SPU155-米色-S,355,299,59,6636,249,97,19017,SPU155,米色,SUB352,D波,https://shop.example.com/product/98977,2025-10-07,2025-10-28 10:57:44,SPU155-米色-S
646,2025-09-23,ZARA女装官方旗舰店,240534,休闲裤热卖款,979041,SPU156-米色-XL,520,314,122,30902,21,15,11908,SPU156,米色,SUB567,A波,https://shop.example.com/product/30762,2025-09-23,2025-10-01 23:53:33,SPU156-米色-XL
647,2025-10-17,GAP男装官方旗舰店,781738,休闲裤热卖款,496582,SPU156-米色-均码,419,278,2,22486,215,63,19332,SPU156,米色,SUB281,A波,https://shop.example.com/product/59507,2025-10-15,2025-10-26 21:38:53,SPU156-米色-均码
648,2025-09-22,播官方旗舰店,172024,休闲裤热卖款,956686,SPU156-米色-均码,844,413,39,2291,130,26,30266,SPU156,米色,SUB431,B波,https://shop.example.com/product/53877,2025-09-22,2025-10-12 09:24:16,SPU156-米色-均码
649,2025-10-12,太平鸟童装官方旗舰店,968467,休闲裤热卖款,378502,SPU156-米色-XXL,43,274,191,8155,153,9,12380,SPU156,米色,SUB785,A波,https://shop.example.com/product/27743,2025-10-11,2025-10-24 07:24:43,SPU156-米色-XXL
650,2025-09-29,VERO MODA官方旗舰店,108674,休闲裤热卖款,376885,SPU156-米色-XXXL,146,251,124,27505,250,53,27670,SPU156,米色,SUB237,A波,https://shop.example.com/product/44510,2025-09-29,2025-10-18 16:38:39,SPU156-米色-XXXL
651,2025-10-08,ZARA男装官方旗舰店,383732,速干短裤春季款,575306,SPU157-灰色-M,118,324,270,49478,132,58,38795,SPU157,灰色,SUB424,B波,https://shop.example.com/product/12832,2025-10-08,2025-10-15 02:40:01,SPU157-灰色-M
652,2025-10-03,美特斯邦威男装官方旗舰店,936016,速干短裤春季款,147084,SPU157-灰色-L,428,294,253,26354,210,66,39768,SPU157,灰色,SUB741,A波,https://shop.example.com/product/84667,2025-10-03,2025-10-29 00:12:59,SPU157-灰色-L
653,2025-10-09,欧时力女装官方旗舰店,662646,速干短裤春季款,900620,SPU157-灰色-XXXL,142,88,78,33367,22,14,17669,SPU157,灰色,SUB992,C波,https://shop.example.com/product/55954,2025-10-09,2025-10-25 15:00:57,SPU157-灰色-XXXL
654,2025-09-24,H&M女装官方旗舰店,348648,速干短裤春季款,971532,SPU157-灰色-均码,84,57,34,49061,54,29,8898,SPU157,灰色,SUB966,D波,https://shop.example.com/product/26159,2025-09-24,2025-10-09 14:39:39,SPU157-灰色-均码
655,2025-09-05,Bershka女装官方旗舰店,306093,休闲裤新款,122306,SPU158-白色-L,657,232,108,36228,68,15,6924,SPU158,白色,SUB875,D波,https://shop.example.com/product/45519,2025-09-05,2025-10-02 01:06:51,SPU158-白色-L
656,2025-10-02,GAP男装官方旗舰店,969269,休闲裤新款,136820,SPU158-白色-XXL,415,397,156,13648,369,302,33022,SPU158,白色,SUB878,A波,https://shop.example.com/product/76487,2025-10-02,2025-10-24 07:05:41,SPU158-白色-XXL
657,2025-09-07,森马男装官方旗舰店,592718,休闲裤新款,564715,SPU158-白色-XXL,667,252,191,23536,52,32,14578,SPU158,白色,SUB849,B波,https://shop.example.com/product/38108,2025-09-07,2025-10-03 17:45:27,SPU158-白色-XXL
658,2025-10-23,GAP女装官方旗舰店,597964,休闲裤新款,571342,SPU158-白色-均码,14,207,64,6179,72,29,552,SPU158,白色,SUB719,A波,https://shop.example.com/product/91617,2025-10-20,2025-10-25 13:04:50,SPU158-白色-均码
659,2025-10-05,GXG官方旗舰店,302376,运动长裤新款,637553,SPU159-红色-L,1304,467,447,27468,57,1,12208,SPU159,红色,SUB658,B波,https://shop.example.com/product/61891,2025-10-05,2025-10-30 22:58:09,SPU159-红色-L
660,2025-09-20,播官方旗舰店,925779,运动长裤新款,274964,SPU159-红色-XXXL,10,68,33,4444,44,41,11166,SPU159,红色,SUB983,B波,https://shop.example.com/product/21140,2025-09-20,2025-10-10 12:06:26,SPU159-红色-XXXL
661,2025-10-07,H&M男装官方旗舰店,784062,运动长裤新款,473397,SPU159-红色-L,461,312,236,8778,17,0,17598,SPU159,红色,SUB876,C波,https://shop.example.com/product/18688,2025-10-07,2025-10-21 04:19:58,SPU159-红色-L
662,2025-10-24,H&M女装官方旗舰店,823665,运动长裤新款,618780,SPU159-红色-M,22,10,9,46147,0,0,6534,SPU159,红色,SUB678,B波,https://shop.example.com/product/30913,2025-10-19,2025-10-30 00:09:39,SPU159-红色-M
663,2025-10-23,GAP男装官方旗舰店,351865,家居服新款,981001,SPU160-粉色-均码,282,138,19,3899,95,79,31635,SPU160,粉色,SUB831,C波,https://shop.example.com/product/22948,2025-10-14,2025-10-27 08:23:52,SPU160-粉色-均码
664,2025-09-24,VERO MODA女装官方旗舰店,251459,家居服新款,251202,SPU160-粉色-XXL,567,488,278,30514,324,14,38494,SPU160,粉色,SUB847,D波,https://shop.example.com/product/29794,2025-09-24,2025-10-18 10:31:10,SPU160-粉色-XXL
665,2025-09-27,播官方旗舰店,702235,家居服新款,526638,SPU160-粉色-XS,419,381,93,11629,199,95,5120,SPU160,粉色,SUB607,C波,https://shop.example.com/product/28894,2025-09-27,2025-10-06 01:30:34,SPU160-粉色-XS
666,2025-10-13,阿迪达斯官方旗舰店,377888,家居服新款,972815,SPU160-粉色-XS,109,94,22,27473,37,6,7070,SPU160,粉色,SUB646,A波,https://shop.example.com/product/14645,2025-10-12,2025-10-14 15:04:39,SPU160-粉色-XS
667,2025-09-28,太平鸟女装官方旗舰店,651383,POLO衫热卖款,552587,SPU161-棕色-M,50,98,88,25000,39,13,3293,SPU161,棕色,SUB586,A波,https://shop.example.com/product/29570,2025-09-28,2025-10-23 21:03:33,SPU161-棕色-M
668,2025-09-08,江南布衣男装官方旗舰店,828192,POLO衫热卖款,784508,SPU161-棕色-XXL,173,279,28,9925,204,199,2303,SPU161,棕色,SUB132,C波,https://shop.example.com/product/40991,2025-09-08,2025-10-07 11:49:21,SPU161-棕色-XXL
669,2025-09-06,H&M男装官方旗舰店,242126,POLO衫热卖款,173482,SPU161-棕色-M,584,200,92,12883,106,52,35632,SPU161,棕色,SUB697,A波,https://shop.example.com/product/11307,2025-09-06,2025-10-01 19:53:30,SPU161-棕色-M
670,2025-09-18,播男装官方旗舰店,734299,休闲衬衫春季款,428192,SPU162-白色-XXXL,30,173,15,6277,119,63,15951,SPU162,白色,SUB239,C波,https://shop.example.com/product/83804,2025-09-18,2025-10-16 00:23:03,SPU162-白色-XXXL
671,2025-09-28,耐克官方旗舰店,937319,休闲衬衫春季款,583807,SPU162-白色-均码,442,494,315,30243,6,0,12419,SPU162,白色,SUB870,A波,https://shop.example.com/product/95766,2025-09-28,2025-10-19 13:43:14,SPU162-白色-均码
672,2025-09-27,Bershka官方旗舰店,198067,休闲衬衫春季款,214459,SPU162-白色-M,209,231,138,24947,43,36,2703,SPU162,白色,SUB861,D波,https://shop.example.com/product/19905,2025-09-27,2025-10-21 00:02:37,SPU162-白色-M
673,2025-09-14,秋水伊人女装官方旗舰店,249458,针织连衣裙夏季款,294655,SPU163-米色-均码,122,335,12,16638,199,80,18306,SPU163,米色,SUB861,D波,https://shop.example.com/product/24663,2025-09-14,2025-10-09 16:29:43,SPU163-米色-均码
674,2025-09-13,美特斯邦威男装官方旗舰店,275304,针织连衣裙夏季款,673736,SPU163-米色-均码,70,253,121,412,28,14,16831,SPU163,米色,SUB413,B波,https://shop.example.com/product/63354,2025-09-13,2025-10-05 16:44:51,SPU163-米色-均码
675,2025-10-18,Massimo Dutti女装官方旗舰店,336540,针织连衣裙夏季款,896473,SPU163-米色-均码,38,27,9,8634,4,1,23628,SPU163,米色,SUB247,A波,https://shop.example.com/product/94927,2025-10-14,2025-10-24 05:03:09,SPU163-米色-均码
676,2025-10-01,Pull&Bear官方旗舰店,458949,针织连衣裙夏季款,289880,SPU163-米色-XXL,219,203,150,17686,3,0,9300,SPU163,米色,SUB850,A波,https://shop.example.com/product/86459,2025-10-01,2025-10-16 08:34:10,SPU163-米色-XXL
677,2025-09-26,H&M童装官方旗舰店,963285,连帽卫衣热卖款,567746,SPU164-白色-S,408,139,121,11815,78,48,1481,SPU164,白色,SUB313,B波,https://shop.example.com/product/65137,2025-09-26,2025-10-15 02:46:42,SPU164-白色-S
678,2025-10-07,GXG官方旗舰店,431146,连帽卫衣热卖款,198957,SPU164-白色-S,230,328,66,30823,320,209,5170,SPU164,白色,SUB767,D波,https://shop.example.com/product/88994,2025-10-07,2025-10-20 08:25:12,SPU164-白色-S
679,2025-10-10,H&M男装官方旗舰店,684257,连帽卫衣热卖款,125277,SPU164-白色-XXXL,274,418,138,22606,153,91,38295,SPU164,白色,SUB653,C波,https://shop.example.com/product/24673,2025-10-10,2025-10-30 00:04:13,SPU164-白色-XXXL
680,2025-09-21,Mango官方旗舰店,210906,连帽卫衣热卖款,211464,SPU164-白色-XL,113,195,81,35194,9,9,5958,SPU164,白色,SUB274,D波,https://shop.example.com/product/80843,2025-09-21,2025-10-01 09:51:43,SPU164-白色-XL
681,2025-09-25,GAP女装官方旗舰店,837273,针织衫经典款,399405,SPU165-红色-L,1242,450,410,35118,207,105,16731,SPU165,红色,SUB590,D波,https://shop.example.com/product/77331,2025-09-25,2025-10-16 06:04:42,SPU165-红色-L
682,2025-10-22,Mango官方旗舰店,324284,针织衫经典款,586129,SPU165-红色-XS,776,345,30,633,215,128,34440,SPU165,红色,SUB375,C波,https://shop.example.com/product/69793,2025-10-14,2025-10-24 19:51:04,SPU165-红色-XS
683,2025-10-07,欧时力女装官方旗舰店,885594,针织衫经典款,341928,SPU165-红色-S,224,132,22,36998,6,0,37479,SPU165,红色,SUB133,D波,https://shop.example.com/product/48217,2025-10-07,2025-10-29 19:06:08,SPU165-红色-S
684,2025-09-07,Mango官方旗舰店,189919,家居服春季款,558419,SPU166-棕色-XS,307,317,22,3299,290,206,37439,SPU166,棕色,SUB854,B波,https://shop.example.com/product/61516,2025-09-07,2025-10-03 01:30:26,SPU166-棕色-XS
685,2025-10-11,Massimo Dutti男装官方旗舰店,306968,家居服春季款,923575,SPU166-棕色-XXXL,333,311,117,18258,65,34,33414,SPU166,棕色,SUB547,C波,https://shop.example.com/product/68857,2025-10-11,2025-10-29 07:06:09,SPU166-棕色-XXXL
686,2025-10-09,欧时力女装官方旗舰店,265381,家居服春季款,222964,SPU166-棕色-XXL,458,483,293,34588,20,13,20877,SPU166,棕色,SUB380,D波,https://shop.example.com/product/34574,2025-10-09,2025-10-15 14:27:13,SPU166-棕色-XXL
687,2025-10-17,Bershka官方旗舰店,169120,连帽卫衣热卖款,274587,SPU167-棕色-XXL,51,75,62,44978,1,0,953,SPU167,棕色,SUB467,C波,https://shop.example.com/product/10195,2025-10-14,2025-10-28 01:26:17,SPU167-棕色-XXL
688,2025-09-28,GAP女装官方旗舰店,328384,连帽卫衣热卖款,102074,SPU167-棕色-L,124,449,10,1191,106,70,34012,SPU167,棕色,SUB485,B波,https://shop.example.com/product/48232,2025-09-28,2025-10-13 11:15:44,SPU167-棕色-L
689,2025-10-23,太平鸟男装官方旗舰店,575463,连帽卫衣热卖款,350895,SPU167-棕色-S,227,380,313,316,365,1,33826,SPU167,棕色,SUB633,A波,https://shop.example.com/product/25901,2025-10-19,2025-10-27 08:05:37,SPU167-棕色-S
690,2025-10-04,太平鸟男装官方旗舰店,937100,连帽卫衣热卖款,102778,SPU167-棕色-M,11,129,23,25197,30,18,9979,SPU167,棕色,SUB940,B波,https://shop.example.com/product/28201,2025-10-04,2025-10-30 13:51:20,SPU167-棕色-M
691,2025-09-27,ONLY官方旗舰店,578933,连帽卫衣秋冬款,878215,SPU168-黄色-L,941,350,316,2931,253,99,583,SPU168,黄色,SUB654,C波,https://shop.example.com/product/49348,2025-09-27,2025-10-25 03:58:53,SPU168-黄色-L
692,2025-10-09,Mango女装官方旗舰店,674214,连帽卫衣秋冬款,545914,SPU168-黄色-XXL,491,278,132,25461,42,15,2662,SPU168,黄色,SUB151,A波,https://shop.example.com/product/88213,2025-10-09,2025-10-27 09:31:49,SPU168-黄色-XXL
693,2025-10-09,欧时力女装官方旗舰店,390801,连帽卫衣秋冬款,817537,SPU168-黄色-XXL,448,417,127,28479,301,60,6342,SPU168,黄色,SUB840,B波,https://shop.example.com/product/68414,2025-10-09,2025-10-12 12:10:55,SPU168-黄色-XXL
694,2025-10-02,韩都衣舍女装官方旗舰店,189299,包臀裙热卖款,433804,SPU169-棕色-S,11,42,42,39592,6,4,24207,SPU169,棕色,SUB810,C波,https://shop.example.com/product/53217,2025-10-02,2025-10-03 20:52:52,SPU169-棕色-S
695,2025-09-13,GAP女装官方旗舰店,701181,包臀裙热卖款,943952,SPU169-棕色-XXXL,316,256,76,1190,72,24,17024,SPU169,棕色,SUB924,A波,https://shop.example.com/product/18967,2025-09-13,2025-10-13 15:44:09,SPU169-棕色-XXXL
696,2025-10-04,森马官方旗舰店,899685,包臀裙热卖款,350791,SPU169-棕色-XXL,284,185,105,26942,52,1,29260,SPU169,棕色,SUB429,D波,https://shop.example.com/product/85334,2025-10-04,2025-10-22 02:39:35,SPU169-棕色-XXL
697,2025-10-07,播官方旗舰店,397149,运动长裤春季款,710276,SPU170-黄色-M,911,310,139,26504,305,221,28941,SPU170,黄色,SUB251,A波,https://shop.example.com/product/22516,2025-10-07,2025-10-19 05:58:30,SPU170-黄色-M
698,2025-09-30,Mango官方旗舰店,379966,运动长裤春季款,775243,SPU170-黄色-均码,2,29,25,9127,17,17,6003,SPU170,黄色,SUB805,B波,https://shop.example.com/product/28058,2025-09-30,2025-10-19 12:18:29,SPU170-黄色-均码
699,2025-10-16,欧时力女装官方旗舰店,568439,运动长裤春季款,725437,SPU170-黄色-XL,944,334,147,73,113,19,25629,SPU170,黄色,SUB244,A波,https://shop.example.com/product/79583,2025-10-13,2025-10-26 06:56:04,SPU170-黄色-XL
700,2025-09-13,Bershka女装官方旗舰店,173429,运动长裤春季款,621017,SPU170-黄色-S,268,177,176,21283,128,34,30642,SPU170,黄色,SUB332,C波,https://shop.example.com/product/93515,2025-09-13,2025-10-02 12:59:09,SPU170-黄色-S
701,2025-10-18,太平鸟童装官方旗舰店,426708,家居服秋冬款,267530,SPU171-米色-XL,455,497,176,29781,98,2,551,SPU171,米色,SUB401,A波,https://shop.example.com/product/30902,2025-10-16,2025-10-25 17:10:20,SPU171-米色-XL
702,2025-09-11,GAP男装官方旗舰店,687216,家居服秋冬款,246265,SPU171-米色-XXXL,564,317,169,7024,48,35,7614,SPU171,米色,SUB803,D波,https://shop.example.com/product/19102,2025-09-11,2025-10-02 21:38:23,SPU171-米色-XXXL
703,2025-09-28,GAP童装官方旗舰店,762224,家居服秋冬款,443266,SPU171-米色-XS,354,321,289,1173,90,36,26055,SPU171,米色,SUB217,A波,https://shop.example.com/product/17973,2025-09-28,2025-10-25 14:00:00,SPU171-米色-XS
704,2025-09-10,Stradivarius官方旗舰店,329704,短裤春季款,158071,SPU172-绿色-XXL,270,237,109,26764,154,6,3524,SPU172,绿色,SUB187,B波,https://shop.example.com/product/83604,2025-09-10,2025-10-06 00:48:15,SPU172-绿色-XXL
705,2025-09-10,Pull&Bear官方旗舰店,580542,短裤春季款,190875,SPU172-绿色-均码,15,124,11,47409,66,22,13140,SPU172,绿色,SUB230,D波,https://shop.example.com/product/18997,2025-09-10,2025-10-03 19:13:14,SPU172-绿色-均码
706,2025-09-24,Mango官方旗舰店,130791,短裤春季款,786674,SPU172-绿色-XXL,270,179,136,46879,22,11,755,SPU172,绿色,SUB609,D波,https://shop.example.com/product/67045,2025-09-24,2025-10-13 15:15:49,SPU172-绿色-XXL
707,2025-10-09,太平鸟官方旗舰店,954481,POLO衫热卖款,909399,SPU173-粉色-均码,529,384,159,25023,166,11,20018,SPU173,粉色,SUB770,B波,https://shop.example.com/product/28917,2025-10-09,2025-10-18 23:39:51,SPU173-粉色-均码
708,2025-10-09,太平鸟童装官方旗舰店,329389,POLO衫热卖款,993523,SPU173-粉色-XL,1298,500,153,25088,225,211,1648,SPU173,粉色,SUB209,A波,https://shop.example.com/product/53633,2025-10-09,2025-10-21 02:45:52,SPU173-粉色-XL
709,2025-09-25,杰克琼斯官方旗舰店,623470,POLO衫热卖款,854113,SPU173-粉色-L,320,121,26,47965,0,0,32231,SPU173,粉色,SUB965,B波,https://shop.example.com/product/44009,2025-09-25,2025-10-19 22:41:41,SPU173-粉色-L
710,2025-10-03,森马男装官方旗舰店,542347,POLO衫热卖款,187109,SPU173-粉色-均码,251,120,52,35045,44,10,10694,SPU173,粉色,SUB425,A波,https://shop.example.com/product/99048,2025-10-03,2025-10-14 13:06:11,SPU173-粉色-均码
711,2025-10-06,ZARA女装官方旗舰店,292175,POLO衫热卖款,513391,SPU173-粉色-均码,115,64,0,33383,58,25,27414,SPU173,粉色,SUB820,D波,https://shop.example.com/product/56017,2025-10-06,2025-10-10 04:06:55,SPU173-粉色-均码
712,2025-09-28,GAP童装官方旗舰店,519628,连帽卫衣热卖款,260057,SPU174-红色-M,266,477,141,5019,357,318,28962,SPU174,红色,SUB518,D波,https://shop.example.com/product/76930,2025-09-28,2025-10-17 09:31:59,SPU174-红色-M
713,2025-10-02,秋水伊人官方旗舰店,928487,连帽卫衣热卖款,753834,SPU174-红色-XXXL,600,438,242,30610,432,424,5276,SPU174,红色,SUB778,B波,https://shop.example.com/product/85783,2025-10-02,2025-10-14 06:39:29,SPU174-红色-XXXL
714,2025-09-29,VERO MODA官方旗舰店,479170,连帽卫衣热卖款,115775,SPU174-红色-M,4,30,13,7133,20,16,19877,SPU174,红色,SUB612,D波,https://shop.example.com/product/49496,2025-09-29,2025-10-03 09:04:43,SPU174-红色-M
715,2025-09-21,Mango官方旗舰店,346723,连帽卫衣热卖款,428421,SPU174-红色-XS,556,498,415,13728,74,39,3515,SPU174,红色,SUB414,D波,https://shop.example.com/product/59598,2025-09-21,2025-10-21 07:46:34,SPU174-红色-XS
